"","x"
"401"," irritable"
"402","anxiety like symptoms"
"403","pms symptoms"
"404","gerd"
"405","misoprostol"
"406","part   arthrotec drug"
"407","feeling like  stomach  full  empty    time"
"408","possible bloating  associated pain   abdomen"
"409","bruises"
"410","bruising likely  represent  rash without  symptoms   git bleeds, melena, joint bleeds etc"
"411","  open  hands"
"412","  walk"
"413","bleeding mini periods"
"414","lightheaded"
"415","finger tingling"
"416","irregular cramping"
"417","period  month long"
"418","bleeding several times  month menstrual cycle  completely   whack"
"419","sever abdominal cramps"
"420","massive diarrhea"
"421","severe cramping"
"422","chronic knee pain"
"423","vomiting"
"424","loose bowels"
"425","excessive hot flashes"
"426","symptoms  menstration"
"427","night sweats"
"428","chest discomfort"
"429","elbow pain"
"430","irritability"
"431","possibly anxiety related symptom"
"432","vitamin c crystals"
"433","migrains"
"434","menstruating  heavy bleeding every 11 days"
"435","horrific cramps"
"436","chronic back"
"437","stomach trouble,  cramps"
"438","ulcer"
"439","stomach trouble"
"440","kidney damage"
"441","liver damage"
"442","this   likely represent nausea"
"443","stomach gas"
"444","possibly pain/nausea/ bloating"
"445","possibly abdominal pains"
"446","fibromyalgia"
"447","severe hip pain"
"448","feel dreadful"
"449","possibly nausea/ fatigue"
"450","fear  falling "
"451","permanent hangover"
"452","hunger pains   context    similar  abdominal pain"
"453","pain   hips"
"454","co codamol"
"455","cortozone injections"
"456","feel like  bubble  air  stuck   chest"
"457","feel  clammy"
"458","stomach pains"
"459","chest pains"
"460","erratic heart beat"
"461","raised blood pressure"
"462","aciphex"
"463","period like cramps"
"464","elevated heart rate"
"465","hot flushes"
"466","sever stomach cramps"
"467","weakness   legs"
"468","heart burn"
"469","indigestion"
"470","thought i  dying"
"471","inhibiting  menstrual cycle"
"472","increased menstrual blood flow"
"473","menorrhagia"
"474","urinary incontinence"
"475","severe diarrhea"
"476","heel spurs"
"477","bad gas"
"478","excessive flatulence"
"479",""" fluey"" feelings  upper arms, legs"
"480","flu jab"
"481","artrotec"
"482","fluey feelings"
"483","naseua"
"484","loss  appetite"
"485","anorexia"
"486","dry eyes"
"487","hunger feeling"
"488","muscle cramps   calf muscles"
"489"," sleep"
"490","charlie horses"
"491","a charley horse   popular colloquial term  canada   united states  america  painful spasms  cramps   leg muscles."
"492","walking   stairs  intolerable"
"493","intense pelvic pain"
"494","miscarriage"
"495",""
"496","intense, horrid pain"
"497","spotting"
"498","terrible bloating"
"499","hydrocodine"
"500","severe nausea"
"501","terrible stomach pain"
"502","tmj pain"
"503","feel sick"
"504","shooting lower abdominal pains"
"505","scared  death"
"506","stiffness   hands"
"507"," little mobility   right hand"
"508","heavy bleeding"
"509","occupycet"
"510","paracetemol/codeine"
"511","bad back"
"512","knew pain"
"513","bad cramps"
"514","feeling sick"
"515","spotting problems"
"516","disorentatation"
"517","trouble brathing"
"518","extreme hot"
"519","pyrexia"
"520","redness  swelling"
"521","itching"
"522","abominal cramps"
"523","cortisone shot"
"524","breast pain"
"525","cycle  back (i'm menopausal )"
"526","erithema"
"527","skin   dry"
"528","sweating  lot"
"529","pruritus ani"
"530","first vaginal bleeding"
"531","pruritus"
"532","skin   red"
"533","infections"
"534","slight nausea"
"535","abdominal cramps  pain"
"536","abdominal gas"
"537","abdominal cramps"
"538","abdominal discomfort"
"539","tylenol"
"540","bled heavily"
"541","rash   wrist"
"542","clotting"
"543","stomich ake"
"544","mobility  going  bad  worse"
"545","rematoid arthro"
"546","arthritice"
"547","infection   lungs"
"548","erythema, redness"
"549","dry skin"
"550","excessive sweating"
"551","erythema"
"552"," cycle  back (i'm menopausal )"
"553","drowsiness"
"554","moderate stomach pain"
"555","mobic"
"556","gut-renching abdominal pain"
"557","jaundins"
"558","jaundice"
"559","sweats"
"560","menopausal symptoms"
"561","crankiness  irritability"
"562","psychological symptoms"
"563","increased bp"
"564","visual disturbances"
"565","blurry vision"
"566","light nausea"
"567","sharp pain   stomach"
"568","pain unbearable"
"569","spinal pain"
"570","naprosyn"
"571","severe sudden onset headache   back  head"
"572","clonidine"
"573","bp  extrememly high"
"574","pulse  high"
"575","high bp"
"576","pulse  still extremely high"
"577","palpitations/ tachycardia"
"578","tachycardia"
"579","severe acid reflux"
"580","reflux symptoms"
"581","severe uterine cramping"
"582","cold sweat"
"583","signs  shock"
"584","severe colon cramping"
"585","fainting"
"586","frequent menstral periods"
"587","post-menopausal   now   six day period"
"588","tender breasts"
"589","gasto discomfort"
"590","nexium"
"591","ib 800 mg"
"592","vaginal bleeding     time   period"
"593","neck pain"
"594","pain   lower back"
"595","bextra"
"596","neurontin"
"597","increased appetite"
"598","dry,itchy skin"
"599","empty stomach feeling"
"600","glucoasamine"
"601","chondroitin"
"602","msm"
"603","ib 1600"
"604","tylenol 8"
"605","stomach ache"
"606","water retention"
"607","throbbing headache"
"608","elevated  blood glucose levels"
"609","possible drug reaction   drugs"
"610","vasotec"
"611","glyburide"
"612","avandia"
"613","severe abdonimal pain"
"614","stool  black"
"615","blood   stool"
"616","starting  upset  stomach"
"617","general stomach upset feeling"
"618","constant soreness  abdomen"
"619","vioxx"
"620","lodine"
"621","trembling"
"622","rigors"
"623","severe menstual pain"
"624","abdominal pains"
"625","severe welts"
"626","rapid heart beat"
"627","swelling  throat"
"628","sore throat  difficulty swallowing"
"629","vertigo"
"630","faintness"
"631","major stomach pain"
"632","massive gas cramps"
"633","flatulence  bloating"
"634","bathroom   runs"
"635","heart attack"
"636","stroke"
"637","thumb pain"
"638","stomach hurt soooo bad"
"639","thumbs hurt  bad"
"640","coccyx pain"
"641","urine  bloody"
"642","skin lesions"
"643","it hurts"
"644","little vaginal bleeding  spite   menopausal  10 years"
"645","back  feel better"
"646","estrace"
"647","extreme nausea"
"648","vomitting"
"649"," painful joints"
"650","pain   hip"
"651","hard   stomach"
"652","aches  pains"
"653","acidophilous"
"654","extended bleeding  menstruation"
"655","heavy menstral cycles"
"656","menorrhagia, excessive menstrual bleeding  time"
"657","slow healing"
"658","abnormal wound healing"
"659","excruciating, unusual abdominal pain"
"660","diarrhoea"
"661","swelling feet"
"662","wrong   liver"
"663","hepatotoxicity"
"664","blood pressure  gone sky high"
"665","ankles swelling"
"666","pernamax"
"667","extreme uterine cramping"
"668","excruciating pain"
"669","misoprostal"
"670","fluid retention"
"671","queasiness"
"672","gas pains"
"673","pain  severe"
"674","bleeding problems"
"675","haemorrhage"
"676","burning  esophagus"
"677","cambia"
"678","maxalt"
"679","triptans"
"680","migraines"
"681","dry heaves"
"682","vomit"
"683","burning sensation"
"684","worse migraines"
"685","rectal bleeding"
"686","collapse"
"687","syncope?"
"688","gi hemmorage"
"689","cataflam"
"690","collitis"
"691"," sure    trying  say,    think  got colitis   drug"
"692","gi distress"
"693","xerostomia"
"694","propain"
"695","mypaid forte"
"696","ibuprofen 400 mg"
"697","paracetamol 325 mg"
"698","gass"
"699","aches"
"700","stevens johnson syndrome"
"701","lower gut pain"
"702","diahrrea"
"703","gastrointestinal problems"
"704","celebrx"
"705","slight effect   blood pressure"
"706","ibu"
"707","sun sensitivity"
"708","photosensitivity attributed   drug"
"709","gassy abdominal cramping"
"710","lower lumbar arthritis"
"711","dysmennorhea"
"712","sciatic endo"
"713","heart attacks"
"714","strokes"
"715","throat pain"
"716","esofogual uclers"
"717","oesophagea ulcers"
"718"," eat  drink"
"719"," eat normal"
"720","swelling of the legs and feet"
"721","pedal oedema"
"722","bladder infection"
"723","bladder not to empty as it should"
"724","vaginal skin burns"
"725","skin dryness"
"726","cycle  back"
"727","cuts   hands"
"728","voltaren"
"729","hobbling"
"730","excessive drowsiness"
"731","foot  hurting"
"732","chronic pain"
"733","trigger point pain"
"734","grogginess"
"735","memory loss"
"736","perforated ulcer"
"737","stomach upset"
"738","peritonitis"
"739","septicaemia"
"740","renal  respiratory failure"
"741","pain   right heel"
"742","plantar fasciitis"
"743","flector patch"
"744","puffiness"
"745","leg cramps"
"746","irritable"
"747","pain  feet"
"748","neuropathy"
"749","calf  left leg began  burn"
"750","tinnitis"
"751"," get  sleep   "
"752","torn maniscus"
"753","lipitor"
"754","myocardial infarction"
"755","skin rash"
"756","itch"
"757","cant sleep"
"758","memory fog"
"759","low libido"
"760","atorvastatin generic"
"761","brain fog"
"762","alleve"
"763","inflamation"
"764","pain  shoulder"
"765","pain  elbow"
"766","pain  knee"
"767","left shoulder  terribly painful"
"768","crippled"
"769","senile"
"770","high cholesterol"
"771","eye heavy"
"772","move slow"
"773","bradykinesia"
"774","sedation"
"775","no sleep"
"776","paranoia"
"777","psychiatric side effects"
"778","psychiatric effects  drugs"
"779","muscle aches"
"780","myalgia"
"781","memory"
"782","amnesia"
"783","learning problems"
"784","burning"
"785","burning pain"
"786","numb"
"787","blood pressure"
"788","cholesterol"
"789","diabetes"
"790","numbness"
"791","myalgias"
"792","eyes running"
"793","epiphora"
"794","itchy"
"795","watery"
"796","epiphora... referring  eyes watering"
"797","crying"
"798","epiphora  depression related. unclear"
"799","omega 3 fish oil"
"800","norvasc"
"801","amlodiphine"
"802","diovan"
"803","psychiatric"
"804","q10"
"805","omega iii"
"806","nosterol"
"807","vitamin e (200iu)"
"808","anzity"
"809","sugar level drops"
"810","hypoglycemia"
"811","stomach ulcer"
"812","memory trouble"
"813","stomach ulcers"
"814","dejestive system"
"815","gastrointestinal side effects"
"816","satin"
"817","metal moods"
"818","kidney"
"819","kidney troubles"
"820","muddled thinking"
"821","loss  stamina"
"822","loss  strength"
"823","tight chest"
"824","tummy bloating"
"825","tummy pains"
"826","nonspecific eructation  flatus  bloating"
"827","mood swings"
"828","cold shivers"
"829","leg muscle discomfort"
"830","i feel like i've  run    truck"
"831","extreme muscle discomfort"
"832","achiness"
"833","sore"
"834","muscle aches   neck"
"835","muscle aches   shoulders"
"836","muscle aches   lower back"
"837","extremely fatigued"
"838","i feel like i'm   fog"
"839","  chore  just walk around"
"840","loss  energy"
"841","difficulty speaking"
"842","difficulty thinking"
"843","disturbed sleep patterns"
"844","difficulty urinating"
"845","increase  blood pressure"
"846","lack  sexual desire"
"847","less muscle mass"
"848","decreased energy"
"849","constant lethargy"
"850","debilitating"
"851","vitamin c"
"852","fish oil capsules"
"853","co q 10"
"854","astaxanthan"
"855","alpha lipoid acid"
"856","vit. b complex"
"857","niacin"
"858","pain  muscles"
"859","pain   joints"
"860","hair loss"
"861","tinnitus"
"862","dysphagia"
"863","ms"
"864","feet hurt"
"865","coma"
"866","zocor"
"867","lipitor's"
"868","crestor"
"869","phytosterol"
"870","diabetics"
"871","frozen shoulder"
"872","chest pain"
"873","cardio event"
"874","damaging  muscles"
"875","elevated lipids"
"876","muscle soreness"
"877","tore  calf muscle"
"878","coronary disease"
"879","increased belching"
"880","stomach discomfort"
"881","leg heaviness"
"882","low bp"
"883","low pulse"
"884","flu"
"885","fever"
"886","toprol"
"887","low bp  pulse"
"888","dark urine"
"889","extreme fatigue"
"890","burning back pain"
"891","severe leg muscle cramps"
"892","buttocks cramps"
"893","no sex drive"
"894","short term memory problems"
"895","could  walk  stairs  anything   hands    5-10 lbs"
"896","pain  feet  legs"
"897","feet still hurt"
"898","simcor"
"899","foot/ankle pain"
"900","disabled"
"901","niaspan"
"902","sciatica"
"903","neurological pain"
"904","tingling"
"905","anaesthesia"
"906","can barely walk"
"907","body aches"
"908","decreased mobility"
"909","decreased testosterone"
"910","decreased libido"
"911","difficulty getting   bed   morning"
"912","tingling hands"
"913","itchy hands"
"914","decrease  overall strength"
"915","strength decrease dramatically"
"916","testosterone"
"917","torn miniscus"
"918","torn acl"
"919","anterior cruciate ligament?"
"920","vitimin c"
"921","fish oil"
"922","nicotinic acid"
"923","muscle spasm"
"924","spinning head"
"925","ringing   ears"
"926","sugar started  go "
"927","fatigued"
"928","felt lazy"
"929","unmotivated"
"930","laziness"
"931","extremely tired"
"932","rage"
"933","changes  mood"
"934","changes  physical activity"
"935","muscle tightness"
"936","muscle spasm?"
"937","lower back weakness"
"938","weakness  pain?"
"939","body stiffed  sleep"
"940","muscle spasm...  strange non specific"
"941","general body stiffness"
"942","rigidity, increased tone?"
"943","mood changes"
"944","hardly lift  arms"
"945","hardly walk"
"946","muscle wasting"
"947","pain  ribs"
"948","restless legs"
"949","lethargy"
"950","sedation, confusion, nonspecific"
"951","lack  strength"
"952","weakness"
"953","emotional lability"
"954","vision changes, blurred vision"
"955","forgetfulness"
"956","knotting muscles"
"957","nonspecific, muscle spasm?"
"958","stiff neck"
"959","sore left testicle"
"960","testicular pain"
"961","arm muscles melting"
"962","legs feel like   belong  "
"963","joint pains"
"964","dysfunctional bowel"
"965","non specific changes  bowel motions"
"966"," energy"
"967","block  mevalonate pathway"
"968","ubiquinol"
"969","bone pain"
"970","musclo-skeletal pain"
"971","nonspecific eructation, flatus, bloating?"
"972","syncope"
"973","loss  consciousness, syncope"
"974","atorvastatin"
"975","sex drive"
"976","libido decreased"
"977","drive  knocked "
"978","heart issues"
"979","anxious"
"980","words   form"
"981","fear"
"982","muscle tingley thing"
"983","physical changes"
"984","emotional changes"
"985","chest muscle pains"
"986","pins  needles"
"987","numbness  fingers"
"988","chest ache"
"989","lovastatin"
"990","reduced hand grip power"
"991","numbness  mouth"
"992","coq10"
"993","sight gets tired"
"994","ezetimibe"
"995","ill feeling"
"996","paranoid"
"997","cholesterol   high"
"998","could  sleep"
"999","could  eat"
"1000","belly blew "
"1001","pain   hip joint"
"1002","stage 1 diastolic dysfunction"
"1003","right ventricular  mildly dilated"
"1004","elevated calcium"
"1005","diastolic dysfunction"
"1006","coronary artery disease"
"1007","diabetic"
"1008","altered  heart function"
"1009","numb means anaesthesia...   think  means paraesthesia      numb   pain"
"1010","painful"
"1011","nerve damage"
"1012","nonspecific,  sure   mean"
"1013","permanent nerve damage   feet"
"1014","severe leg cramping"
"1015","muscle ache"
"1016","cataract"
"1017","cataracts"
"1018","inflammed bursae"
"1019","inflammed ligaments"
"1020","nerve pain"
"1021","burning  ankles"
"1022","burning  shoulders"
"1023","liptor"
"1024","shoulders hurt"
"1025","disability"
"1026","statins"
"1027","red yeast rice"
"1028","elevated cholesterol"
"1029","difficulty  digestive system"
"1030","nonspecific gi disturbance"
"1031","pain  neck"
"1032","unable  raise  left arm"
"1033","unable  move"
"1034","chest spasm"
"1035","pneumonia"
"1036","spasms"
"1037","heart"
"1038","muscle weakness"
"1039","calcium build-"
"1040","muscle cramping"
"1041","muscle spasms"
"1042","lipitol"
"1043","sore leg joints"
"1044","severe muscle pains"
"1045","ache"
"1046","calf muscle strains"
"1047","muscle strain"
"1048","severe muscle pull/strain"
"1049","calf pain"
"1050","pulled/strained calf"
"1051","muscle pull"
"1052","stomache aches"
"1053","servere pain"
"1054","unable  sleep"
"1055","multiple sclerosis"
"1056","trouble concentrating"
"1057","difficulty concentrating"
"1058","absent mindendness,"
"1059","eye problems"
"1060","nonspecific"
"1061","rash"
"1062","difficulty breathing"
"1063","weight increased"
"1064","bloating  stomach"
"1065","rashes"
"1066","tightness  throat"
"1067","nonspecific pain? swelling?"
"1068","pravachol"
"1069","muscles  diminished"
"1070","aggitated"
"1071","choking"
"1072","easily excited"
"1073","lightheadedness"
"1074","excess gas"
"1075","nonspecific eructation, flatus, bloating"
"1076","tired   time"
"1077","mild stiffness   fingers"
"1078","suicide"
"1079","hallucinations"
"1080","hallucination"
"1081","mental illness"
"1082","dizzy spells"
"1083","hairloss"
"1084","alopecia"
"1085","arm stiffness"
"1086","neurological problems"
"1087","major stiffness  shoulder"
"1088","nospecific eructation, flatus, bloating"
"1089","tiredness"
"1090","nonspecific,  sedation?  fatigue?"
"1091","tingly"
"1092","can hardly sleep"
"1093","muscle fatigue"
"1094","make   tired"
"1095","stiffness"
"1096","tendonitis"
"1097","flu-like symptoms"
"1098","malaise"
"1099","weaker"
"1100","stiff"
"1101","low  energy"
"1102","tendonits"
"1103","flu like syptoms"
"1104","nonspecific, malaise?"
"1105","kidney malfunction"
"1106","joint  muscle pain"
"1107","arthralgia  myalgia"
"1108","leg  foot cramping"
"1109","type 2 diabetes"
"1110","heart disease"
"1111","bp problems"
"1112","stabbing sharp pains"
"1113","mavik 1mg"
"1114","pregnancy side effects"
"1115","photosensitivity"
"1116","lopids"
"1117","nonspecific malaise"
"1118","heaviness   legs"
"1119","foot  leg cramps"
"1120","scabs"
"1121","st john's wort"
"1122","i'm   night  bathroom"
"1123"," skin  boils"
"1124","coming    flu"
"1125","weak"
"1126","calves hurt"
"1127","special feeling   males experience   organ"
"1128","impotence"
"1129","decreased sex drive"
"1130","male menopause"
"1131"," barely stand  walk"
"1132","swaying"
"1133","dragging legs"
"1134","nonspecific, eructation, flatus, bloating"
"1135","heel pain"
"1136","neuronal apoptosis (brain cell death)"
"1137","mitochondrial dna mutations"
"1138","melas, mitochondrial encephalomyopathy  lactic acidosis  stroke-like episodes"
"1139","permanently  totally disabled"
"1140","serial lactic acid levels consitently well  normal range"
"1141","severe myopathy"
"1142","cpk  elevated"
"1143","liver enzymes   elevated"
"1144","muscle stiffness"
"1145","muscle injury"
"1146","exhaustion"
"1147","sleeping  day  night"
"1148","feel exhausted"
"1149","drained  tired"
"1150","hand  asleep"
"1151","numb-like"
"1152","rapid shallow breathing"
"1153","slightly blurred vision"
"1154","erectile disfunction"
"1155","allergy"
"1156","asthma"
"1157","urinery tract infection"
"1158","urge  urinate constantly"
"1159","paralysis"
"1160","facial paralysis"
"1161","peripheral neuropathy"
"1162","fuzzy thinking"
"1163","extremely hyper"
"1164","stimulant"
"1165","hyperactive"
"1166","   things fast enough"
"1167","constant alert"
"1168","severe pain shoulder"
"1169","severe upper body pain"
"1170","joints hurt"
"1171","muscles hurt"
"1172","tendons hurt"
"1173","worse pain"
"1174","restlessness   legs"
"1175","constant sleepiness"
"1176","hot/cold fever-like sensations   skin"
"1177","chronic fatigue syndrome"
"1178","restless leg syndrome"
"1179","cognitive impairments"
"1180"," dark urine"
"1181","compromising  liver"
"1182","phytomega vitamins"
"1183","mevacor"
"1184","blurr vision"
"1185","slurpy speach"
"1186","mussle spasm"
