"","slang.V1","exp.V1"
"167","ANFAWFOS","And Now For A Word From Our Sponsor"
"168","ANFSCD","And Now For Something Completely Different"
"169","ANGB","Almost Nearly Good Bridge"
"170","AOAS","All Of A Sudden"
"171","AOB","Abuse Of Bandwidth"
"172","AON","Apropos Of Nothing"
"173","AOR","Agency On Record -or- Album-Oriented Rock"
"174","AOYP","Angel On Your Pillow"
"175","AP","Apple Pie"
"176","APAC","Asia-Pacific"
"177","APU","As Per Usual"
"178","AR","Action Required"
"179","AS","Ape Sh** -or- Another Subject"
"180","ASAFP","As Soon As F***ing Possible"
"181","ASAMOF","As A Matter Of Fact"
"182","ASAP","As Soon As Possible"
"183","ASAYGT","As Soon As You Get This"
"184","ASL","Age/Sex/Location"
"185","ASLMH","Age/Sex/Location/Music/Hobbies"
"186","ATAB","Ain't That A Bitch"
"187","ATBIMS","All These Bitches Is My Sons"
"188","ATC","Any Two Cards"
"189","ATM","At The Moment -or- Ass To Mouth"
"190","ATSL","Along The Same Line"
"191","ATST","At The Same Time"
"192","ATW","All The Web, Around The Web, All The Way, At The Weekend"
"193","ATWD","Agree That We Disagree"
"194","AUNT","And U Know This"
"195","AUNTM","And U Know This Man"
"196","AWC","After While, Crocodile"
"197","AWGTHTGTTA","Are We Going To Have To Go Through This Again"
"198","AWHFY","Are We Having Fun Yet?"
"199","AWLTP","Avoiding Work Like The Plague"
"200","AWNIAC","All We Need Is Another Chair"
"201","AWOL","Absent Without Leave"
"202","AWS","Awesome"
"203","AWTTW","A Word To The Wise"
"204","ax","it means across"
"205","AYC","Aren't You Clever -or- Aren't You Cheeky"
"206","AYCE","All You Can Eat"
"207","AYEG","Are You Even Goth?"
"208","AYFKMWTS","Are You F***ing Kidding Me With This Sh**"
"209","AYK","As You Know"
"210","AYMM","Are You My Mother"
"211","AYOR","At Your Own Risk"
"212","AYSOS","Are You Stupid Or Something"
"213","AYTMTB","And You're Telling Me This Because"
"214","AYV","Are You Vertical?"
"215","B","Be"
"216","B&E","Breaking & Entering"
"217","B&F","Back and Forth"
"218","B/C","Because"
"219","B/W","Between"
"220","B2A","Business-to-Anyone"
"221","B2B","Business-to-Business"
"222","B2B2C","Business-to-Business-to-Consumer"
"223","B2C","Business-to-Consumer"
"224","B2D","Business-to-Distributor"
"225","B2E","Business-to-Employee"
"226","B2G","Business-to-Government"
"227","B4","Before"
"228","B4N","Bye For Now"
"229","B4U","Before You"
"230","B4YKI","Before You Know It"
"231","B@U or BAK@U","Back at You"
"232","BABY","Being Annoyed By You"
"233","BAC","Bad Ass Chick"
"234","bae","Before Anyone Else"
"235","BAEB","Before Anyone Else Babe"
"236","BAESBO","Before Anyone Else So Back Off"
"237","BAG","Busting A Gut -or- Big Ass Grin"
"238","BAK","Back At Keyboard"
"239","BAMF","Bad Ass Mother F***er"
"240","banana","it means penis"
"241","BARB","Buy Abroad but Rent in Britain"
"242","BASE","Buildings, Antennas, Spans, Earth"
"243","BAU","Business As Usual"
"244","BB","Be Back -or- Buzzard Breath -or- Blessed Be -or- Baby"
"245","BB4N","Bye Bye for Now"
"246","BBAMFIC","Big Bad Ass Mother F***er In Charge"
"247","BBB","Bye Bye Babe -or- Boring Beyond Belief -or- Big, Beige & Boring"
"248","BBBG","Bye Bye Be Good"
"249","BBFBBM","Body By Fisher, Brains By Mattel"
"250","BBFN","Bye Bye for Now"
"251","BBIAB","Be Back In A Bit"
"252","BBIAF","Be Back In A Few"
"253","BBIAS","Be Back In A Sec"
"254","BBIAW","Be Back In A While"
"255","BBL","Be Back Later"
"256","BBMFIC","Big Bad Mother F***er In Charge"
"257","BBQ","Bar-B-Que -or- Barbeque"
"258","BBR","Burnt Beyond Repair"
"259","BBS","Be Back Soon -or Bulletin Board Service"
"260","BBSD","Be Back Soon Darling"
"261","BBSL","Be Back Sooner or Later"
"262","BBT","Be Back Tomorrow"
"263","BBW","Big Beautiful Woman -or- Big Black Woman"
"264","BC","Because"
"265","BCBG","Bon Chic Bon Genre -or- Belle Cul Belle Geulle"
"266","BCBS","Big Company, Big School"
"267","BCNU","Be Seeing You"
"268","bcoz","because"
"269","BD","Big Deal -or- Baby Dance -or- Brain Drain"
"270","BDBI5M","Busy Daydreaming Back In 5 Minutes"
"271","BDC","Big Dumb Company -or- Big Dot Com"
"272","BDE","Big Dick Energy"
"273","BDN","Big Damn Number"
"274","BDOA","Brain Dead On Arrival"
"275","BDSM","Bondage, Dominance, Sadism, Masochism"
"276","BEG","Big Evil Grin"
"277","beos","Nudge"
"278","BF","Boyfriend -or- Best Friend"
"279","BF4L","Best Friends For Life"
"280","BFBO","Blinding Flash of the Bloody Obvious"
"281","BFD","Big F***ing Deal -or- Big F***ing Disaster"
"282","BFE","Bum F*** Egypt"
"283","BFF","Best Friends Forever -or- Best Friend's Funeral"
"284","BFFN","Best Friends For Now"
"285","BFFTTE","Best Friends Forever Til The End"
"286","BFFW","Best Friends Forever Work"
"287","BFG","Big F***ing Gun"
"288","BFN","Bye For Now"
"289","BFR","Big F***ing Rock"
"290","BG","Be Good"
"291","BGBC","Be Glad Be Cheerful"
"292","BGF","Best GirlFriend"
"293","BHAG","Big Hairy Audacious Goal"
"294","BHG","Big Hearted Guy -or- Big Hearted Girl"
"295","BHIMBGO","Bloody Hell, I Must Be Getting Old"
"296","BHOF","Bald Headed Old Fart"
"297","BI","Business Intelligence"
"298","BI5","Back In Five"
"299","BIBI","Bye Bye"
"300","BIBLE","Basic Instructions Before Leaving Earth"
"301","BIBO","Beer In, Beer Out"
"302","BIF","Basis In Fact -or- Before I Forget"
"303","BIL","Brother-In-Law -or- Boss Is Listening"
"304","BIO","Bring It On"
"305","BIOIYA","Break It Off In Your Ass"
"306","BION","Believe It Or Not"
"307","BIOYA","Blow It Out Your Ass"
"308","BIOYE","Blow It Out Your Ear"
"309","BIOYIOP","Blow It Out Your I/O Port"
"310","BIOYN","Blow it Out Your Nose"
"311","BITCH","Basically In The Clear Homey"
"312","BITD","Back In The Day"
"313","BITFOB","Bring It The F*** On, Bitch"
"314","BIZ","it means Business"
"315","BJ","Blow Job"
"316","BKA","Better Known As"
"317","BL","Belly Laughing"
"318","BLBBLB","Back Like Bull, Brain Like Bird"
"319","Blkbry","Blackberry"
"320","BLZRD","it means blizzard"
"321","BM","Byte Me"
"322","BMF","Bad Mother F***er"
"323","BMGWL","Busting My Gut With Laughter"
"324","BMOC","Big Man On Campus"
"325","BMOF","Bite Me Old Fart"
"326","BMOTA","Byte Me On The Ass"
"327","BMS","Baby Making Sex"
"328","BMW","B*tch, Moan, Whine"
"329","BN","Been -or- Being"
"330","BNDN","Been Nowhere Done Nothing"
"331","BNF","Big Name Fan"
"332","BO","Bug Off -or- Body Odor"
"333","BOAISY","Bend Over And I'll Show You"
"334","BOAT","Bust Out Another Thousand"
"335","BOB","Battery Operated Boyfriend"
"336","BOBFOC","Body Off Baywatch, Face Off Crimewatch"
"337","BOCTAAE","But Of Course There Are Always Exceptions"
"338","BOD","Benefit of the Doubt -or- Board Of Directors"
"339","BOFH","Bastard Operator From Hell"
"340","BOH","Bros Over Hoes"
"341","BOHICA","Bend Over Here It Comes Again"
"342","BOL","Bark Out Loud"
"343","BON","Believe it Or Not"
"344","book","it means cool"
"345","BOTEC","Back Of The Envelope Calculation"
"346","BOTL","Bra On The Loose"
"347","BOTOH","But On The Other Hand"
"348","BOTUS","Bot Of The United States"
"349","BPLM","Big Person Little Mind"
"350","BR","Bathroom"
"351","BRB","Be Right Back"
"352","BRICS","Brazil, Russia, India, China, South Africa"
"353","BRL","Belly Roll Laughs"
"354","BRO","Be Right Over"
"355","BRT","Be Right There"
"356","BRUF","Big Requirements Up Front"
"357","BS","Big Smile -or- Bull Sh** -or- Brain Strain"
"358","BSAAW","Big Smile And A Wink"
"359","BSBD&NE","Book Smart, Brain Dead & No Experience"
"360","BSEG","Big Sh** Eating Grin"
"361","BSF","But Seriously, Folks"
"362","BSOD","Blue Screen of Death"
"363","BT","Byte This"
"364","BTA","But Then Again -or- Before The Attacks"
"365","BTD","Bored To Death"
"366","BTDT","Been There Done That"
"367","BTDTGTS","Been There, Done That, Got The T-shirt"
"368","BTFLDY","it means beautiful day"
"369","BTFO","Back The F*** Off -or- Bend The F*** Over"
"370","BTHOOM","Beats The Heck Out Of Me"
"371","BTI","Bash Twitter Idiocy"
"372","BTN","Better Than Nothing"
"373","BTOIYA","Be There Or It's Your Ass"
"374","BTR","Better"
"375","BTSOOM","Beats The Sh** Out Of Me"
"376","BTTE","Brothers To The End"
"377","BTTP","Back To The Past"
"378","BTTT","Back To The Top -or- Bump To The Top"
"379","BTW","By The Way -or- Bring The Wheelchair -or- Booty To Win"
"380","BTWBO","Be There With Bells On"
"381","BTWITIAILWU","By The Way I Think I Am In Love With You"
"382","BTYC","Better Than You Can"
"383","BTYD","Better Than You Do"
"384","BUFF","Big Ugly Fat F***"
"385","buhbye","bye"
"386","bump","Bring Up My Post"
"387","BW","Best Wishes"
"388","BWDIK","But What Do I Know"
"389","BWI","But What If"
"390","BWL","Bursting With Laughter"
"391","BWO","Black, White or Other"
"392","BWTM","But Wait, There's More"
"393","BYAM","Between You And Me"
"394","BYKI","Before You Know It"
"395","BYKT","But You Knew That"
"396","BYOA","Bring Your Own Advil"
"397","BYOB","Bring Your Own Bottle -or- Bring Your Own Beer"
"398","BYOD","Bring Your Own Device"
"399","BYOP","Bring Your Own Pencil"
"400","BYOW","Build Your Own Website -or- Bring Your Own Wine"
"401","BYTME","Better You Than ME"
"402","BZ","Busy"
"403","C","it means see, it's also a programming language"
"404","c ya","see ya"
"405","c%d","it means could"
"406","c%l","it means cool"
"407","C&G","Chuckle and Grin"
"408","C-P","Sleepy"
"409","C-T","City"
"410","C/P","Cross Post"
"411","C/S","Change of Subject"
"412","C4N","Ciao For Now"
"413","CAAC","Cool As A Cucumber"
"414","CAL","Cyberathlete Amateur League"
"415","CAS","Crack A Smile"
"416","CB","Chat Brat -or- Coffee Break -or Call Back"
"417","CBB","Can't Be Bothered"
"418","CBD","it stands for Cannabidiol, a.k.a. CBD oil"
"419","CBF","Can't Be F***ed"
"420","CBJ","Covered Blow Job"
"421","CBM","Covered By Medicare"
"422","CBOT","Centered Backgrounds On Twitter"
"423","cc","carbon copy"
"424","CCOT","Conservative Christians on Twitter"
"425","CCW","Cute Crush Wednesday"
"426","CD","Carpe diem -or- Compact Disc"
"427","CD9","Code 9 - it means parents are around"
"428","CF","Coffee Freak -or- Cluster F***"
"429","CFV","Call For Vote"
"430","CHA","Click Here Asshole"
"431","chln","it means chilling or to be chill"
"432","CIAO","Goodbye (in Italian)"
"433","CICO","Coffee In, Coffee Out"
"434","CICYHW","Can I Copy Your Home Work"
"435","CID","Consider It Done -or- Crying In Disgrace"
"436","CIL","Check In Later"
"437","CINBA","Clad In Naught But Air"
"438","CIO","Check It Out -or- Chief Information Officer / Chief Internet Officer"
"439","CITO","Cache In, Trash Out"
"440","CLD","it means cold"
"441","CLM","Career Limiting Move"
"442","CM","Call Me"
"443","CMAO","Chortling My Ass Off"
"444","CMAP","Cover My Ass Partner"
"445","CMB","Call Me Back"
"446","CMF","Count My Fingers"
"447","CMIW","Correct Me if I'm Wrong"
"448","CMSU","Cracking MySelf Up"
"449","CMU","Crack Me Up"
"450","CN","Can"
"451","CNP","Continued in Next Post"
"452","COB","Close Of Business"
"453","COBRAS","Come On By Right After School"
"454","COD","Change Of Dressing"
"455","Cof$","Church of Scientology"
"456","CofS","Church of Scientology"
"457","COL","Chuckle Out Loud -or- Chortling Out Loud"
"458","coo","short for cool"
"459","COS","Change Of Subject -or- it means because"
"460","COT","Circle Of Trust"
"461","CPA","Cost Per Action -or- Cost Per Acquisition"
"462","CPC","Cost Per Click -or- Cost-Per-Click"
"463","CPG","Consumer Packaged Goods"
"464","CPL","Cost Per Lead"
"465","CQRT","Security"
"466","CQTS","Chuckling Quietly To Self"
"467","CRAFT","Can't Remember A F***ing Thing"
"468","CRAP","Cheap Redundant Assorted Products"
"469","CRAT","Can't Remember A Thing"
"470","CRAWS","Can't Remember Anything Worth A Sh**"
"471","CRB","Come Right Back"
"472","CRBT","Crying Real Big Tears"
"473","CRD","Caucasian Rhythm Disorder -or- Deficiency"
"474","CRDTCHCK","Credit Check"
"475","CRS","Can't Remember Sh** -or- Cockney Rhyming Slang"
"476","CRTLA","Can't Remember the Three-Letter Acronym"
"477","CS","Career Suicide"
"478","CS&F","Cute Sexy & Funny"
"479","CSA","Cool Sweet Awesome"
"480","CSABR","Continued Success And Best Regards"
"481","CSL","Can't Stop Laughing"
"482","CSN","Chuckle, Snicker, Grin"
"483","CT","Can't Talk -or- Can't Text"
"484","CTA","Call To Action"
"485","CTC","Care To Chat -or- Contact -or- Choking The Chicken"
"486","CTFD","Calm The F*** Down"
"487","CTFO","Come The F*** On"
"488","CTFU","Cracking The F*** Up"
"489","CTMQ","Chuckle To Myself Quietly"
"490","CTO","Check This Out"
"491","CU","See You -or- Cracking Up"
"492","CU46","See You For Sex"
"493","CUA","Clean Up Afterwards"
"494","CUATSC","See You At The Senior Center"
"495","CUATU","See You Around The Universe"
"496","CUL","See You Later"
"497","CUL8R","See You Later"
"498","CULA","See You Later Alligator"
"499","CUNS","See You In School"
"500","CUNT","See You Next Time -or- Can't Understand Newest Text"
"501","CUOL","See You OnLine"
"502","CUPL","Couple"
"503","CUWTA","Catch Up With The Acronyms"
"504","CUZ","Because"
"505","CWOT","Complete Waste Of Time"
"506","CWYL","Chat With You Later"
"507","CX","Cancelled"
"508","CxO","Chief insert title here Officer"
"509","CY","Calm Yourself"
"510","CYA","Cover Your Ass -or- See Ya"
"511","CYE","Check your Email"
"512","CYL","See You Later"
"513","CYM","Check Your Mail"
"514","CYO","See You Online"
"515","CYOH","Create Your Own Happening"
"516","CYT","See You Tomorrow"
"517","D","Dad -or- it means the"
"518","D&M","Deep & Meaningful"
"519","d/c","disconnected"
"520","d00d","dude, also seen as dood"
"521","D2D","Developer-to-Developer or Day-to-Day"
"522","D8","Date"
"523","da","there"
"524","DAFUQ","What the F***"
"525","DAMHIKT","Don't Ask Me How I Know That"
"526","DANNY","Duplicating Another's, Not Necessarily Yours"
"527","DARFC","Ducking And Running For Cover"
"528","DBA","Doing Business As -or- Don't Bother Asking"
"529","DBABAI","Don't Be A Bitch About It"
"530","DBBSWF","Dream Boat Body, Shipwreck Face"
"531","DBD","Don't Be Dumb"
"532","DBEYR","Don't Believe Everything You Read"
"533","DBMIB","Don't Bother Me I'm Busy"
"534","DD","Due Diligence"
"535","DDAS","Don't Do Anything Stupid"
"536","DDG","Drop Dead Gorgeous"
"537","DDSOS","Different Day, Same Old Sh**"
"538","DDWI","Don't Dick With It"
"539","def","Definitely"
"540","defo","Definitely"
"541","DEGT","Don't Even Go There"
"542","dem","them"
"543","DENIAL","Don't Even Notice I Am Lying"
"544","dese","these"
"545","DETI","Don't Even Think It"
"546","DETWEET","DElete a TWEET"
"547","dewd","dude"
"548","dey","they"
"549","DF","Dear Friend"
"550","DFIK","Darn If I Know"
"551","DFLA","Disenhanced Four-Letter Acronym (that is, a TLA)"
"552","DFTBA","Don't Forget To Be Awesome"
"553","DFU","Don't F*** Up"
"554","DFWLY","Don't Forget Who Loves You"
"555","DGA","Don't Go Anywhere"
"556","DGAF","Don't Give A F***"
"557","DGARA","Don't Give A Rat's Ass"
"558","DGT","Don't Go There"
"559","DGTG","Don't Go There Girlfriend"
"560","DGYF","Damn Girl You're Fine"
"561","DH","Dear Husband"
"562","DHYB","Don't Hold Your Breath"
"563","DIAF","Die In A Fire"
"564","DIC","Drunk In Charge"
"565","DIFBET","it means what's the difference between"
"566","DIKU","Do I Know You?"
"567","DILLIGAD","Do I Look Like I Give A Damn"
"568","DILLIGAS","Do I Look Like I Give A Sh**"
"569","DINK","Double Incomes, No Kids"
"570","DINO","Democrat In Name Only"
"571","DINR","Dinner"
"572","DIRFT","Do It Right the First Time"
"573","DISTO","Did I Say That Outloud?"
"574","DITR","Dancing In The Rain"
"575","ditto","same here"
"576","DITYID","Did I Tell You I'm Distressed"
"577","DIY","Do It Yourself"
"578","DJM","Don't Judge Me"
"579","DK","Don't Know"
"580","DKDC","Don't Know Don't Care"
"581","DL","Down Low -or- Download -or- Dead Link"
"582","DLTBBB","Don't Let The Bed Bugs Bite"
"583","DLTM","Don't Lie To Me"
"584","DM","Direct Message"
"585","DMI","Don't Mention It"
"586","DNBL8","Do Not Be Late"
"587","DNC","Does Not Compute"
"588","DND","Do Not Disturb"
"589","DNF","Did Not Find"
"590","DNPMPL","Damn Near Pissed My Pants Laughing"
"591","DNR","Do Not Resuscitate"
"592","DOA","Dead On Arrival"
"593","DOC","Drug Of Choice"
"594","DOE","Depends On Experience"
"595","DOEI","Goodbye (in Dutch)"
"596","DOG","Depend On God"
"597","DOH","it's an expression of frustration"
"598","doin","it means doing"
"599","DORD","Department Of Redundancy Department"
"600","DOS","Dad Over Shoulder -or- Dozing Off Soon"
"601","DP","Domestic Partner"
"602","dps","Damage Per Second"
"603","DPUP","Don't Poop Your Pants"
"604","DQMOT","Don't Quote Me On This"
"605","DQYDJ","Don't Quit Your Day Job"
"606","DRB","Dirty Rat Bastard"
"607","DRCOWOTO","Don't Really Care One Way Or The Other"
"608","DRIB","Don't Read If Busy"
"609","DSL","Digital Subscriber Line -or- Dick Sucking Lips"
"610","DSTR8","Damn Straight"
"611","DTC","Deep Throaty Chuckle"
"612","DTF","Down To F***"
"613","DTK","Down To Kill"
"614","DTRT","Do The Right Thing"
"615","DUI","Driving Under the Influence"
"616","DUM","Do You Masturbate?"
"617","DUNA","Don't Use No Acronyms"
"618","dunno","i don't know"
"619","DUR","Do You Remember"
"620","DURS","Damn You Are Sexy"
"621","DUSL","Do You Scream Loud?"
"622","DUST","Did You See That?"
"623","DW","Don't Worry"
"624","DW2H","Don't Work Too Hard"
"625","DWB","Don't Write Back"
"626","DWBH","Don't Worry Be Happy"
"627","DWEET","Drunk tWEET"
"628","DWH","During Work Hours"
"629","DWI","Driving While Intoxicated"
"630","DWPKOTL","Deep Wet Passionate Kiss On The Lips"
"631","DWS","Driving While Stupid"
"632","DWWWI","Surfing the World Wide Web while intoxicated"
"633","DWYM","Does What You Mean"
"634","DYAC","Damn You Auto Correct"
"635","DYD","Don't You Dare"
"636","DYFM","Dude You Fascinate Me"
"637","DYHAB","Do You Have A Boyfriend?"
"638","DYHAG","Do You Have A Girlfriend"
"639","DYJHIW","Don't You Just Hate It When..."
"640","DYLI","Do You Love It?"
"641","DYOFDW","Do Your Own F***ing Dirty Work"
"642","DYSTSOTT","Did You See The Size Of That Thing"
"643","E123","Easy as One, Two, Three"
"644","E2HO","Each to His/Her Own"
"645","EABOS","Eat A Bag Of Sh**"
"646","EADD","Entrepreneurial Attention Deficit Disorder"
"647","EAK","Eating at Keyboard"
"648","EAPFS","Everything About Pittsburgh F***ing Sucks"
"649","ED","Erectile Dysfunction"
"650","EDM","Electronic Document Management -or- Electronic Dance Movement"
"651","EE","Electronic Emission"
"652","EE or EEs","Employee -or- Employees"
"653","effin","F***ing"
"654","EFT","Electronic Funds Transfer"
"655","EG","Evil Grin"
"656","EHE","Emos Hate Everyone"
"657","EHT","E-Hashtag on Twitter"
"658","EIP","Eggo Is Preggo"
"659","EL","Evil Laugh"
"660","ELOL","Evil Laugh Out Loud"
"661","EM","Excuse Me"
"662","EMA","E-Mail Address"
"663","EMBM","Early Morning Business Meeting"
"664","EMEA","Europe, the Middle East, and Africa"
"665","EMFBI","Excuse Me For Butting In"
"666","EMFJI","Excuse Me For Jumping In"
"667","EMI","Excuse My Ignorance"
"668","EML","Email Me Later"
"669","EMP","Eat My Pussy"
"670","EMRTW","Evil Monkey's Rule The World"
"671","EMSG","E-Mail Message"
"672","EOD","End Of Day -or- End Of Discussion"
"673","EOL","End Of Life"
"674","EOM","End Of Message"
"675","EOT","End Of Thread/Text/Transmission"
"676","EOW","End Of Watch"
"677","ESAD","Eat Sh** And Die"
"678","ESADYFA","Eat Sh** And Die You F***ing Asshole"
"679","ESEMED","Every Second Every Minute Every Day"
"680","ESFOAD","Eat Sh** F***Off And Die"
"681","ESG","Environmental, Social, Governance"
"682","ESH","Experience, Strength, and Hope"
"683","ESMF","Eat Sh** Mother F***er"
"684","ESO","Equipment Smarter than Operator"
"685","ETA","Estimated Time of Arrival -or- Edited To Add"
"686","ETLA","ETLA Extended Three-Letter Acronym (that is, an FLA)"
"687","ETX","End of TeXt"
"688","every1","everyone"
"689","EVRE1","Every One"
"690","EWI","E-mailing While Intoxicated"
"691","EYD","Enjoy Your Day"
"692","EYFD","Enjoy Your F***ing Day"
"693","EZ","Easy"
"694","F","Friend"
"695","F/U","it means to Follow Up"
"696","F2F","Face-to-Face, a.k.a. face time"
"697","F2Fmail","Face-to-Face mail"
"698","F2T","Free To Talk"
"699","F4F","Follow for Follow"
"700","FAANGs","a.k.a. the FAANGs"
"701","FAB","Features Attributes Benefits"
"702","FAE","Finally An Explanation"
"703","FAF","Find A Friend"
"704","FAH","F***ing A Hot"
"705","FAITH","Forsaking All, I Trust In Him"
"706","FAP","F***ing A Pissed"
"707","FAQL","Frequently Asked Questions List"
"708","FASB","Fast Ass Son Bitchii"
"709","FATC","Fork A Twitter Client"
"710","FATM","Foaming At The Mouth"
"711","FAV","Favorite"
"712","FAWC","For Anyone Who Cares"
"713","FAWOMFT","Frequently Argued Waste Of My F***ing Time"
"714","FAY","F*** All Y'all"
"715","FB","F*** Buddy -or- FaceBook -or-Follow Back"
"716","FBI","F***ing Brilliant Idea -or- Female Body Inspector"
"717","FBKS","Failure Between Keyboard and Seat"
"718","FBOCD","Facebook Obsessive Compulsive Disorder"
"719","FCFS","First Come, First Served"
"720","FCOL","For Crying Out Loud"
"721","FCS","First Customer Ship"
"722","FDFF","Falling Down F***ing Funny"
"723","FDGB","Fall Down Go Boom"
"724","FDU","Fresher Than You"
"725","FE","Fatal Error"
"726","FEAR","Forget Everything And Run, Face Everything And Recover, False Evidence Appearing Real"
"727","FF","Friends Forever"
